X,Y,u_数值解,u_解析解,abs误差
0.79,0.03,1.7040416477121845,0.05767964904030176,1.6463619986718827
0.8,0.03,1.6341964802782187,0.05531547868674205,1.5788810015914767
0.81,0.03,1.5627385582171522,0.052896718634037165,1.509841839583115
0.8200000000000001,0.03,1.489738401870837,0.05042575590633875,1.4393126459644983
0.8300000000000001,0.03,1.4152680535801718,0.04790502904553603,1.3673630245346358
0.84,0.03,1.3394010065880062,0.04533702570470968,1.2940639808832965
0.85,0.03,1.2622121325101814,0.042724280193118164,1.2194878523170631
0.86,0.03,1.1837776074462867,0.04006937097514093,1.1437082364711457
0.87,0.03,1.104174836803045,0.03737491812564499,1.0667999186774
0.88,0.03,1.0234823789045233,0.03464358074428762,0.9888387981602357
0.89,0.03,0.9417798674645459,0.031878054331305784,0.9099018131332401
0.9,0.03,0.8591479329978422,0.029081068127383133,0.8300668648704591
0.91,0.03,0.7756681232474582,0.026255382420218625,0.7494127408272395
0.92,0.03,0.6914228227069755,0.02340378582045613,0.6680190368865194
0.93,0.03,0.60649517131697,0.020529092509662106,0.5859660788073079
0.9400000000000001,0.03,0.5209689824159243,0.017634139463068462,0.5033348429528558
0.9500000000000001,0.03,0.43492866002658154,0.014721783649820231,0.4202068763767613
0.96,0.03,0.3484591155593665,0.011794899213492105,0.3366642163458744
0.97,0.03,0.2616456840150733,0.008856374635655662,0.2527893093794177
0.98,0.03,0.17457403976952282,0.005909109885296934,0.16866492988422588
0.99,0.03,0.08733011202329863,0.0029560135568968597,0.08437409846640177
1.0,0.03,0.0,1.1524944467867478e-17,1.1524944467867478e-17
0.0,0.04,0.0,0.0,0.0
0.01,0.04,0.11630604078906166,0.003936812003971143,0.11236922878509052
0.02,0.04,0.23249730155766293,0.007869738849791441,0.2246275627078715
0.03,0.04,0.3484591155593662,0.01179489921349208,0.3366642163458741
0.04,0.04,0.46407704248399123,0.015708419435684445,0.44836862304830677
0.05,0.04,0.5792369813963848,0.019606437344394243,0.5596305440519905
0.06,0.04,0.6938252833402688,0.023485106066558993,0.6703401772737099
0.07,0.04,0.8077288634960372,0.027340597824427274,0.7803882656716099
0.08,0.04,0.9208353127818232,0.03116910771311322,0.88966620506871
0.09,0.04,1.0330330087876884,0.0349668574555783,0.9980661513321102
0.1,0.04,1.1442112259334645,0.03873009913133458,1.1054811268021298
