X,Y,u_数值解,u_解析解,abs_误差
0.43,0.02,-0.9083097178775619,0.06127832049949918,0.9695880383770611
0.44,0.02,-0.9142388883803931,0.06167832680027527,0.9759172151806684
0.45,0.02,-0.9192658154777923,0.06201746403901412,0.9812832795168064
0.46,0.02,-0.9233855381976178,0.06229539752820563,0.9856809357258235
0.47000000000000003,0.02,-0.9265939908706529,0.06251185298105129,0.9891058438517042
0.48,0.02,-0.9288880071430976,0.06266661678215212,0.9915546239252497
0.49,0.02,-0.9302653230998859,0.06275953619832131,0.9930248592982072
0.5,0.02,-0.9307245794971023,0.06279051952931337,0.9935150990264157
0.51,0.02,-0.9302653231029101,0.06275953619832131,0.9930248593012314
0.52,0.02,-0.9288880071460404,0.06266661678215212,0.9915546239281925
0.53,0.02,-0.9265939908702667,0.06251185298105129,0.9891058438513181
0.54,0.02,-0.9233855381937848,0.06229539752820562,0.9856809357219904
0.55,0.02,-0.9192658154737728,0.06201746403901411,0.9812832795127869
0.56,0.02,-0.9142388883799,0.06167832680027527,0.9759172151801753
0.5700000000000001,0.02,-0.9083097178812679,0.06127832049949919,0.9695880383807671
0.58,0.02,-0.901484155351572,0.0608178398946114,0.9623019952461834
0.59,0.02,-0.8937689367962843,0.06029733942437441,0.9540662762206588
0.6,0.02,-0.8851716762057975,0.05971733275991159,0.9448890089657092
0.61,0.02,-0.8757008580402801,0.05907839229777568,0.9347792503380558
0.62,0.02,-0.8653658288546104,0.05838114859506261,0.923746977449673
0.63,0.02,-0.8541767880735611,0.05762628974712771,0.9118030778206888
0.64,0.02,-0.8421447779272939,0.056814560708518654,0.8989593386358126
0.65,0.02,-0.8292816725561402,0.05594676255779534,0.8852284351139355
0.66,0.02,-0.8156001662933865,0.05502375170696198,0.8706239180003484
0.67,0.02,-0.8011137611364065,0.0540464390562919,0.8551602001926984
0.68,0.02,-0.7858367534195101,0.05301578909537892,0.838852542514889
0.6900000000000001,0.02,-0.7697842197038103,0.05193281895130259,0.8217170386551129
0.7000000000000001,0.02,-0.7529720018993862,0.050798597384846544,0.8037705992842328
0.71,0.02,-0.7354166916336837,0.04961424373576065,0.7850309353694443
0.72,0.02,-0.7171356138792546,0.048380926818107774,0.7655165406973624
0.73,0.02,-0.6981468098553882,0.047099863766785516,0.7452466736221738
0.74,0.02,-0.6784690192211632,0.0457723188363609,0.7242413380575241
0.75,0.02,-0.6581216615797895,0.044399602153403835,0.7025212637331933
0.76,0.02,-0.6371248173142828,0.042983068423550284,0.6801078857378331
0.77,0.02,-0.6154992077728334,0.04152411559457141,0.6570233233674048
0.78,0.02,-0.5932661748212376,0.040024183476767956,0.6332903582980055
0.79,0.02,-0.5704476597807986,0.03848475232205113,0.6089324121028498
0.8,0.02,-0.5470661817728519,0.03690734136311293,0.5839735231359648
0.81,0.02,-0.5231448154933922,0.03529350731412663,0.5584383228075188
0.8200000000000001,0.02,-0.49870716844128543,0.03364484283445808,0.5323520112757435
0.8300000000000001,0.02,-0.47377735762231327,0.031962974956903006,0.5057403325792162
0.84,0.02,-0.44837998575001103,0.030249563482002244,0.4786295492320133
0.85,0.02,-0.42254011696549454,0.028506299340018755,0.4510464163055133
